Mokhtar M,Tajuddin H.A.
Halim N.D,Ali M
Halim N.D,Ali D.F
Halim N.D,Ibrahim N.H
Halim N.D,Tajuddin H.A.
Ali M,Ali D.F
Ali M,Ibrahim N.H
Ali M,Tajuddin H.A.
Ali D.F,Ibrahim N.H
Ali D.F,Tajuddin H.A.
Ibrahim N.H,Tajuddin H.A.
Hassan A.I,Baharom M.N
Hassan A.I,Abdul Mutalib R.
Baharom M.N,Abdul Mutalib R.
Sinclair T.J,Grieve R.
Pall Z,De Koning M.
Bartolini S,Mikucka M
Bartolini S,Sarracino F.
Mikucka M,Sarracino F.
Mishra A.K,Kar A.
Hedenborg-White M,Gregorius F.
Hiers W,Soehl T
Hiers W,Wimmer A.
Soehl T,Wimmer A.
Baker F.A,Jeanneret N
Baker F.A,Kelaher M.
Jeanneret N,Kelaher M.
Hastorf C.A,Foxhall L.
Håkansson P,Tovatt C.
Agbiji E,Agbiji O.M.
Morris J,Farrell C
Morris J,Reed M.
Farrell C,Reed M.
Gangl K,Torgler B
Gangl K,Kirchler E.
Torgler B,Kirchler E.
Barrington D.J,Sridharan S
Barrington D.J,Saunders S.G
Barrington D.J,Souter R.T
Barrington D.J,Bartram J
Barrington D.J,Shields K.F
Barrington D.J,Meo S
Barrington D.J,Kearton A
Barrington D.J,Hughes R.K.
Sridharan S,Saunders S.G
Sridharan S,Souter R.T
Sridharan S,Bartram J
Sridharan S,Shields K.F
Sridharan S,Meo S
Sridharan S,Kearton A
Sridharan S,Hughes R.K.
Saunders S.G,Souter R.T
Saunders S.G,Bartram J
Saunders S.G,Shields K.F
Saunders S.G,Meo S
Saunders S.G,Kearton A
Saunders S.G,Hughes R.K.
Souter R.T,Bartram J
Souter R.T,Shields K.F
Souter R.T,Meo S
Souter R.T,Kearton A
Souter R.T,Hughes R.K.
Bartram J,Shields K.F
Bartram J,Meo S
Bartram J,Kearton A
Bartram J,Hughes R.K.
Shields K.F,Meo S
Shields K.F,Kearton A
Shields K.F,Hughes R.K.
Meo S,Kearton A
Meo S,Hughes R.K.
Kearton A,Hughes R.K.
Kirkbesoglu E,Sargut A.S.
Öhlmann P,Frost M.-L
Öhlmann P,Gräb W.
Frost M.-L,Gräb W.
Chumg H.-F,Seaton J
Chumg H.-F,Cooke L
Chumg H.-F,Ding W.-Y.
Seaton J,Cooke L
Seaton J,Ding W.-Y.
Cooke L,Ding W.-Y.
Yang X,Li G.
Patel S.A,Sherman S.G
Patel S.A,Khatry S.K
Patel S.A,LeClerq S.C
Patel S.A,Katz J
Patel S.A,Tielsch J.M
Patel S.A,Christian P.
Sherman S.G,Khatry S.K
Sherman S.G,LeClerq S.C
Sherman S.G,Katz J
Sherman S.G,Tielsch J.M
Sherman S.G,Christian P.
Khatry S.K,LeClerq S.C
Khatry S.K,Katz J
Khatry S.K,Tielsch J.M
Khatry S.K,Christian P.
LeClerq S.C,Katz J
LeClerq S.C,Tielsch J.M
LeClerq S.C,Christian P.
Katz J,Tielsch J.M
Katz J,Christian P.
Tielsch J.M,Christian P.
Ottoni C.A,Sims-Gould J
Ottoni C.A,Winters M
Ottoni C.A,Heijnen M
Ottoni C.A,McKay H.A.
Sims-Gould J,Winters M
Sims-Gould J,Heijnen M
Sims-Gould J,McKay H.A.
Winters M,Heijnen M
Winters M,McKay H.A.
Heijnen M,McKay H.A.
Bini M,Masserini L.
Eastwood J,Kemp L
Eastwood J,Jalaludin B.
Kemp L,Jalaludin B.
Foster S,Hooper P
Foster S,Knuiman M
Foster S,Giles-Corti B.
Hooper P,Knuiman M
Hooper P,Giles-Corti B.
Knuiman M,Giles-Corti B.
Ferguson J.E,Salominaite E
Ferguson J.E,Boersma K.
Salominaite E,Boersma K.
Lafferty L,Treloar C
Lafferty L,Chambers G.M
Lafferty L,Butler T
Lafferty L,Guthrie J.
Treloar C,Chambers G.M
Treloar C,Butler T
Treloar C,Guthrie J.
Chambers G.M,Butler T
Chambers G.M,Guthrie J.
Butler T,Guthrie J.
Aragón C,Narvaiza L
Aragón C,Altuna M.
Narvaiza L,Altuna M.
Chen R,Sharma S.K
Chen R,Raghav Rao H.
Sharma S.K,Raghav Rao H.
Grasmuck S,Hinze A.M.
Ichinkhorloo B,Yeh E.T.
Hauser C,Perkmann U
Hauser C,Puntscher S
Hauser C,Walde J
Hauser C,Tappeiner G.
Perkmann U,Puntscher S
Perkmann U,Walde J
Perkmann U,Tappeiner G.
Puntscher S,Walde J
Puntscher S,Tappeiner G.
Walde J,Tappeiner G.
Son J.-E,Lee S.-H
Son J.-E,Cho E.-Y
Son J.-E,Kim H.-W.
Lee S.-H,Cho E.-Y
Lee S.-H,Kim H.-W.
Cho E.-Y,Kim H.-W.
Guagnano G,Santarelli E
Guagnano G,Santini I.
Santarelli E,Santini I.
Chang C.-M,Hsu M.-H.
Veerman G.-J.M,Dronkers J.
Wilkins A.M,Hermanson D.R
Wilkins A.M,Cohen J.R.
Hermanson D.R,Cohen J.R.
Ter Wal A.L.J,Alexy O
Ter Wal A.L.J,Block J
Ter Wal A.L.J,Sandner P.G.
Alexy O,Block J
Alexy O,Sandner P.G.
Block J,Sandner P.G.
Fenster T,Eizenberg E.
Trujillo M.D,Plough A.
Leung M.R,Chin J.J
Leung M.R,Petrescu-Prahova M.
Chin J.J,Petrescu-Prahova M.
Levin D.Z,Walter J
Levin D.Z,Appleyard M.M
Levin D.Z,Cross R.
Walter J,Appleyard M.M
Walter J,Cross R.
Appleyard M.M,Cross R.
Landstedt E,Almquist Y.B
Landstedt E,Eriksson M
Landstedt E,Hammarström A.
Almquist Y.B,Eriksson M
Almquist Y.B,Hammarström A.
Eriksson M,Hammarström A.
Dima B,Dima Ş.M.
Doyle D.M,Molix L.
Botha J,Kourkoutas E.
Zack T,Estifanos Y.S.
Rahayu T.P,Harmadi S.H.B.
Pasimeni F,Pasimeni P.
Levordashka A,Utz S.
Lyytikäinen L,Kemppainen T.
Schafer M.H,Vargas N.
Arnorsson A,Zoega G.
Growiec K,Growiec J.
Carrasco M.A,Bilal U.
Plascak J.J,Molina Y
Plascak J.J,Wu-Georges S
Plascak J.J,Idris A
Plascak J.J,Thompson B.
Molina Y,Wu-Georges S
Molina Y,Idris A
Molina Y,Thompson B.
Wu-Georges S,Idris A
Wu-Georges S,Thompson B.
Idris A,Thompson B.
Schwadel P,Cheadle J.E
Schwadel P,Malone S.E
Schwadel P,Stout M.
Cheadle J.E,Malone S.E
Cheadle J.E,Stout M.
Malone S.E,Stout M.
Olesen K.G,Hasle P
Olesen K.G,Sørensen O.H.
Hasle P,Sørensen O.H.
Park J.J,Sharma G.
Smokowski P.R,Guo S
Smokowski P.R,Cotter K.L
Smokowski P.R,Evans C.B.R
Smokowski P.R,Rose R.A.
Guo S,Cotter K.L
Guo S,Evans C.B.R
Guo S,Rose R.A.
Cotter K.L,Evans C.B.R
Cotter K.L,Rose R.A.
